,ID,Fullname,Park Code,URL,State,Lat & long,Types of Activities
224,E2A4E070-D68B-42D6-8353-4438ED2F43AB,Hubbell Trading Post National Historic Site,hutr,https://www.nps.gov/hutr/index.htm,AZ,"lat:35.70727324, long:-109.5599515",5
225,07D9E506-B86A-4762-801F-2D333F369D5D,Ice Age Floods National Geologic Trail,iafl,https://www.nps.gov/iafl/index.htm,"WA,OR,ID,MT","lat:46.5669309008, long:-118.992564971",3
226,DED290D0-879A-4134-BBC3-54980D80959E,Ice Age National Scenic Trail,iatr,https://www.nps.gov/iatr/index.htm,WI,"lat:43.9895697794, long:-89.5612021706",11
227,CF35CC35-12CE-473D-9E4C-703916105B78,Independence National Historical Park,inde,https://www.nps.gov/inde/index.htm,PA,"lat:39.94746112, long:-75.14794157",8
228,473EFACE-EE15-4A4F-AA6C-666810A9E27D,Indiana Dunes National Park,indu,https://www.nps.gov/indu/index.htm,IN,"lat:41.63765525, long:-87.09647445",33
229,0F6893CF-FC15-4AC5-8C95-E70FC9C21B1A,Isle Royale National Park,isro,https://www.nps.gov/isro/index.htm,MI,"lat:48.01145819, long:-88.82780657",35
230,622B7696-B7D8-41D8-A3C9-C82A60D0CD12,Iñupiat Heritage Center,inup,https://www.nps.gov/inup/index.htm,AK,"lat:71.29832445, long:-156.7535863",2
231,DE848801-6FFA-4961-901A-CBE120F569F5,James A Garfield National Historic Site,jaga,https://www.nps.gov/jaga/index.htm,OH,"lat:41.66486549, long:-81.35086557",8
232,ED57A2B1-2560-471C-82A7-7EF6BC3486F8,Jean Lafitte National Historical Park and Preserve,jela,https://www.nps.gov/jela/index.htm,LA,"lat:29.81739855, long:-90.1402241",23
233,A71EF659-5A33-4CCC-93CE-340F23A88E3E,Jewel Cave National Monument,jeca,https://www.nps.gov/jeca/index.htm,SD,"lat:43.73102945, long:-103.829994",10
234,F63CFF21-C861-422D-A725-B8F3ECFF6EAE,Jimmy Carter National Historical Park,jica,https://www.nps.gov/jica/index.htm,GA,"lat:32.03611, long:-84.3924",8
235,B2577D2A-A33E-4DCF-B6F8-C299E1DFEC19,John Day Fossil Beds National Monument,joda,https://www.nps.gov/joda/index.htm,OR,"lat:44.62566508, long:-119.8811491",6
236,13E32BB8-D80B-45FA-ABF7-9C0CA5417ADC,John Fitzgerald Kennedy National Historic Site,jofi,https://www.nps.gov/jofi/index.htm,MA,"lat:42.34693694, long:-71.12323846",4
